id,name,english_name,description,refine_description,special_refine_description
1,"鉄の剣","Iron Sword","効果なし","",""
2,"鋼の剣","Steel Sword","効果なし","",""
3,"銀の剣","Silver Sword","効果なし","",""
4,"銀の剣+","Silver Sword+","効果なし","",""
5,"キルソード",,"奥義が発動しやすい(発動カウント-1)","",""
6,"キルソード+",,"奥義が発動しやすい(発動カウント-1)","",""
7,"旭日の剣",,"3すくみ有利だと、さらに攻撃+20%、3すくみ不利だと、さらに攻撃-20%","",""
8,"旭日の剣+",,"3すくみ有利だと、さらに攻撃+20%、3すくみ不利だと、さらに攻撃-20%","",""
9,"勇者の剣","Brave Sword","自分から攻撃した時、2回攻撃<br>速さ-5","",""
10,"勇者の剣+","Brave Sword+","自分から攻撃した時、2回攻撃<br>速さ-5","",""
11,"倭刀",,"奥義発動時、奥義によるダメージ+10","",""
12,"倭刀+",,"奥義発動時、奥義によるダメージ+10","",""
13,"アーマーキラー",,"重装特効","",""
14,"アーマーキラー+",,"重装特効","",""
15,"フォルクヴァング",,"ターン開始時、自分のHPが50%以下なら攻撃+5","戦闘開始時、自分のHPが80%以下なら戦闘中、攻撃、守備+7","3すくみ有利だと、さらに攻撃+20%、3すくみ不利だと、さらに攻撃-20%"
17,"ミストルティン",,"奥義が発動しやすい(発動カウント-1)","奥義が発動しやすい(発動カウント-1)","攻撃、速さ、守備、魔防+3<br>戦闘後、自分に6ダメージ"
18,"封印の剣",,"敵から攻撃された時、守備、魔防+2","竜特効<br>敵から攻撃された時、戦闘中、守備、魔防+4","自分のHPが50%以上で、敵から攻撃された時、絶対追撃"
19,"夜刀神",,"自分から攻撃した時、戦闘中の速さ+4","攻撃、速さ、守備、魔防+2","周囲2マスの味方で自身と支援を結んでいる相手は、戦闘中、攻撃、速さ、守備、魔防+4"
20,"雷神刀",,"敵から攻撃された時、距離に関係なく反撃する","敵から攻撃された時、距離に関係なく反撃する","自分から攻撃した時、または、周囲2マス以内に味方がいる時、戦闘中、攻撃、速さ、守備、魔防+4、かつ、敵の絶対追撃を無効、自分の追撃不可を無効"
21,"ジークリンデ",,"ターン開始時、周囲1マスの味方の攻撃+3(1ターン)","ターン開始時、周囲1マスの味方の攻撃+4(1ターン)","戦闘中、攻撃、速さ、守備、魔防が周囲2マスの味方の攻撃、速さ、守備、魔防の強化の最大値だけ上昇(最大値は各能力値ごとに計算)"
22,"ソール・カティ",,"自分のHPが50%以下で、自分から攻撃した時、追撃可能なら自分の攻撃の直後に追撃を行う","自分のHPが75%以下で、自分から攻撃した時、追撃可能なら自分の攻撃の直後に追撃を行う","自分のHPが75%以下で、自分から攻撃した時、敵が反撃可能なら絶対追撃"
