id,name,release_date,refined_date,how_to_read,english_name,description,must_learn,refine_from,can_status_refine,refine_description,refine_description2,special_refine_description,special_refine_hp,type,assist_type,sacred_seal,weapon_type,inherit,inheritable_weapon_type,inheritable_move_type,count,might,might_refine,no_impl_required,range,sp,effective,invalidate_effective,consideration,hp,atk,spd,def,res,cooldown_count,atk_count,counteratk_count,all_dist_counter,disable_counter,wrathful_staff
1,"鉄の剣",,,"てつのつるぎ","Iron Sword","効果なし","","",,"","","","","武器","",,"剣","可",,,,6,,true,,50,"","","",,,,,,,,,,,
2,"鋼の剣",,,"はがねのつるぎ","Steel Sword","効果なし","|鉄の剣|","",,"","","","","武器","",,"剣","可",,,,8,,true,,100,"","","",,,,,,,,,,,
3,"銀の剣",,,"ぎんのつるぎ","Silver Sword","効果なし","|鋼の剣|","",,"","","","","武器","",,"剣","可",,,,11,,true,,200,"","","",,,,,,,,,,,
4,"銀の剣+",,,"ぎんのつるぎ+","Silver Sword+","効果なし","|銀の剣|","",true,"","","","","武器","",,"剣","可",,,,15,16,true,,300,"","","",,,,,,,,,,,
5,"キルソード",,,,,"奥義が発動しやすい(発動カウント-1)","|鋼の剣|","",,"","","","","武器","",,"剣","可",,,,7,,true,,200,"","","",,,,,,-1,,,,,
6,"キルソード+",,,,,"奥義が発動しやすい(発動カウント-1)","|キルソード|","",,"","","","","武器","",,"剣","可",,,,11,,true,,300,"","","",,,,,,-1,,,,,
7,"旭日の剣",,,"きょくじつのけん",,"3すくみ有利だと、さらに攻撃+20%、3すくみ不利だと、さらに攻撃-20%","|鋼の剣|","",,"","","","","武器","",,"剣","可",,,,8,,,,200,"","","",,,,,,,,,,,
8,"旭日の剣+",,,"きょくじつのけん+",,"3すくみ有利だと、さらに攻撃+20%、3すくみ不利だと、さらに攻撃-20%","|旭日の剣|","",,"","","","","武器","",,"剣","可",,,,12,,,,300,"","","",,,,,,,,,,,
9,"勇者の剣",,,"ゆうしゃのけん","Brave Sword","自分から攻撃した時、2回攻撃<br>速さ-5","|鋼の剣|","",,"","","","","武器","",,"剣","可",,,,5,,true,,200,"","","",,,-5,,,,2,,,,
10,"勇者の剣+",,,"ゆうしゃのけん+","Brave Sword+","自分から攻撃した時、2回攻撃<br>速さ-5","|勇者の剣|","",,"","","","","武器","",,"剣","可",,,,8,,true,,300,"","","",,,-5,,,,2,,,,
11,"倭刀",,,,,"奥義発動時、奥義によるダメージ+10","|鋼の剣|","",,"","","","","武器","",,"剣","可",,,,9,,,,200,"","","",,,,,,,,,,,
12,"倭刀+",,,,,"奥義発動時、奥義によるダメージ+10","|倭刀|","",true,"","","","","武器","",,"剣","可",,,,13,14,,,300,"","","",,,,,,,,,,,
13,"アーマーキラー",,,,,"重装特効","|鋼の剣|","",,"","","","","武器","",,"剣","可",,,,8,,true,,200,"|重装|","","",,,,,,,,,,,
14,"アーマーキラー+",,,,,"重装特効","|アーマーキラー|","",,"","","","","武器","",,"剣","可",,,,12,,true,,300,"|重装|","","",,,,,,,,,,,
15,"フォルクヴァング",,2018-08-09,,,"ターン開始時、自分のHPが50%以下なら攻撃+5","|銀の剣|","",true,"戦闘開始時、自分のHPが80%以下なら戦闘中、攻撃、守備+7","","3すくみ有利だと、さらに攻撃+20%、3すくみ不利だと、さらに攻撃-20%",3,"武器","",,"剣","不可",,,,16,,,,400,"","","",,,,,,,,,,,
17,"ミストルティン",,2017-11-28,,,"奥義が発動しやすい(発動カウント-1)","|キルソード|","",true,"奥義が発動しやすい(発動カウント-1)","","攻撃、速さ、守備、魔防+3<br>戦闘後、自分に6ダメージ",3,"武器","",,"剣","不可",,,,16,,,,400,"","","",,,,,,-1,,,,,
18,"封印の剣",,2018-04-10,"ふういんのつるぎ",,"敵から攻撃された時、守備、魔防+2","|銀の剣|","",true,"竜特効<br>敵から攻撃された時、戦闘中、守備、魔防+4","","自分のHPが50%以上で、敵から攻撃された時、絶対追撃",3,"武器","",,"剣","不可",,,,16,,,,400,"|竜|","","",,,,,,,,,,,
19,"夜刀神",,2018-05-09,"やとのかみ",,"自分から攻撃した時、戦闘中の速さ+4","|銀の剣|","",true,"攻撃、速さ、守備、魔防+2","","周囲2マスの味方で自身と支援を結んでいる相手は、戦闘中、攻撃、速さ、守備、魔防+4","","武器","",,"剣","不可",,,,16,,,,400,"","","",,,,,,,,,,,
20,"雷神刀",,2021-05-06,,,"敵から攻撃された時、距離に関係なく反撃する","|銀の剣|","",true,"敵から攻撃された時、距離に関係なく反撃する","","自分から攻撃した時、または、周囲2マス以内に味方がいる時、戦闘中、攻撃、速さ、守備、魔防+4、かつ、敵の絶対追撃を無効、自分の追撃不可を無効",3,"武器","",,"剣","不可",,,,16,,true,,400,"","","",,,,,,,,,true,,
21,"ジークリンデ",,2018-03-09,,,"ターン開始時、周囲1マスの味方の攻撃+3(1ターン)","|銀の剣|","",true,"ターン開始時、周囲1マスの味方の攻撃+4(1ターン)","","戦闘中、攻撃、速さ、守備、魔防が周囲2マスの味方の攻撃、速さ、守備、魔防の強化の最大値だけ上昇(最大値は各能力値ごとに計算)",3,"武器","",,"剣","不可",,,,16,,,,400,"","","",,,,,,,,,,,
22,"ソール・カティ",,2017-11-28,,,"自分のHPが50%以下で、自分から攻撃した時、追撃可能なら自分の攻撃の直後に追撃を行う","|銀の剣|","",true,"自分のHPが75%以下で、自分から攻撃した時、追撃可能なら自分の攻撃の直後に追撃を行う","","自分のHPが75%以下で、自分から攻撃した時、敵が反撃可能なら絶対追撃",3,"武器","",,"剣","不可",,,,16,,,,400,"","","",,,,,,,,,,,
23,"ティルフィング",,2019-01-10,,,"自分のHPが50%以下の時、戦闘時、守備+4","|銀の剣|","",true,"戦闘開始時、自身のHPが50%以上ならHPが2以上で敵の致死攻撃を受けた時、ダメージをHPが1残るように軽減(1戦闘1回のみ、重複しない)","","味方と隣接している時、戦闘中、自身の攻撃、守備+5",3,"武器","",,"剣","不可",,,,16,,,,400,"","","",,,,,,,,,,,
24,"デュランダル",,2019-02-07,,,"自分から攻撃した時、戦闘中の攻撃+6","|銀の剣|","",true,"自分から攻撃した時、戦闘中の攻撃+6","","自分から攻撃した時、戦闘中の攻撃、速さ+4","","武器","",,"剣","不可",,,,16,,,,400,"","","",,,,,,,,,,,
25,"ジークフリート",,2021-05-06,,,"敵から攻撃された時、距離に関係なく反撃する","|銀の剣|","",true,"敵から攻撃された時、距離に関係なく反撃する","","戦闘開始時、敵のHPが75%以上なら、戦闘中、敵の攻撃、守備-5、敵は追撃不可",3,"武器","",,"剣","不可",,,,16,,true,,400,"","","",,,,,,,,,true,,
